MonoNS,EstNS,MonoS,EstS,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,YawDeg,AngX,AngY,AngZ
351664534792,351662534792,351.664534792,351.662534792,-0.024,0.09,0.995,0.122,-0.366,-0.61,,5.256,1.182,-159.619
351674750290,351672750290,351.67475029,351.67275029,-0.024,0.09,0.995,0.122,-0.366,-0.61,,5.257,1.179,-159.625
351684968706,351682968706,351.684968706,351.682968706,-0.024,0.09,0.995,0.122,-0.366,-0.61,,5.257,1.177,-159.632
351695222121,351693222121,351.695222121,351.693222121,-0.023,0.091,0.995,0.061,-0.427,-0.61,,5.258,1.174,-159.638
351705391536,351703391536,351.705391536,351.703391536,-0.023,0.091,0.995,0.061,-0.427,-0.61,,5.259,1.172,-159.645
351715611702,351713611702,351.715611702,351.713611702,-0.023,0.091,0.995,0.061,-0.427,-0.61,,5.259,1.169,-159.652
351725829825,351723829825,351.725829825,351.723829825,-0.023,0.091,0.995,0.061,-0.427,-0.61,,5.26,1.166,-159.658
351735867993,351733867993,351.735867993,351.733867993,-0.023,0.091,0.995,0.061,-0.427,-0.61,,5.26,1.164,-159.665
351746276572,351744276572,351.746276572,351.744276572,-0.023,0.091,0.995,0.0,-0.427,-0.61,,5.261,1.161,-159.671
351756490613,351754490613,351.756490613,351.754490613,-0.023,0.091,0.995,0.0,-0.427,-0.61,,5.261,1.158,-159.678
351766866526,351764866526,351.766866526,351.764866526,-0.023,0.091,0.995,0.0,-0.427,-0.61,,5.261,1.156,-159.685
351777108566,351775108566,351.777108566,351.775108566,-0.023,0.091,0.995,0.0,-0.427,-0.61,,5.261,1.153,-159.691
351787145859,351785145859,351.787145859,351.785145859,-0.023,0.091,0.995,0.0,0.0,-0.61,,5.261,1.155,-159.698
351797344441,351795344441,351.797344441,351.795344441,-0.023,0.091,0.995,0.0,0.0,-0.61,,5.261,1.157,-159.705
351807510940,351805510940,351.80751094,351.80551094,-0.023,0.091,0.995,0.0,0.0,-0.61,,5.26,1.159,-159.712
351817786813,351815786813,351.817786813,351.815786813,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.26,1.16,-159.718
351827980437,351825980437,351.827980437,351.825980437,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.26,1.162,-159.725
351838223352,351836223352,351.838223352,351.836223352,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.26,1.163,-159.731
351848419601,351846419601,351.848419601,351.846419601,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.261,1.164,-159.738
351858639766,351856639766,351.858639766,351.856639766,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.261,1.166,-159.745
351875100062,351873100062,351.875100062,351.873100062,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.261,1.167,-159.751
351882793259,351880793259,351.882793259,351.880793259,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.261,1.168,-159.758
351891296695,351889296695,351.891296695,351.889296695,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.261,1.17,-159.765
351902216269,351900216269,351.902216269,351.900216269,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.262,1.171,-159.773
351912436434,351910436434,351.912436434,351.910436434,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.262,1.172,-159.779
351922551892,351920551892,351.922551892,351.920551892,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.262,1.174,-159.787
351932881431,351930881431,351.932881431,351.930881431,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.262,1.175,-159.793
351943089930,351941089930,351.94308993,351.94108993,-0.022,0.092,0.995,0.0,0.0,-0.61,,5.262,1.176,-159.8
