t_s,E_m,N_m,U_m,vE_mps,vN_mps,vU_mps,yaw_deg,src_used
2974.683689142,20.480340724475177,-7.925107511555552,26.012151580781676,-0.011746762897766055,0.0017351532694367313,-0.0052917676210534614,171.5974116393959,BI
3096.842958227,19.045364754769277,-7.713142456410712,25.365713116026114,0.013988781575005264,-0.005686111648164529,-0.0036030715190516066,145.69980195478595,BI
3097.843327887,19.059358707437283,-7.718830669986909,25.362108712595646,0.012908285338622793,-0.0063586397412946595,-0.004236020568543548,153.77507716133854,BI
3098.823912581,19.07201637446612,-7.725065854791882,25.357954935662665,0.014504651851807016,-0.0011102696289541272,0.0006183655948494375,163.45546305550997,BI
3099.823800788,19.086519404799382,-7.726176000300463,25.35857323212857,0.020314574290464595,0.0012669182952581605,-0.0016471154878559715,174.23946123885617,BI
3100.822150097,19.106800446004893,-7.724911173295833,25.356928835519426,0.017503300262191435,0.007373207650998791,0.008016875255785275,-176.70095155765375,BI
3101.804976556,19.124003152622397,-7.71766458972873,25.364808032639313,0.010067453781984282,0.004666807985626642,-0.001366483652628826,-170.3177682816836,BI
3103.803933813,19.14412756241941,-7.708335840038835,25.36207649022532,0.05907741843316272,0.026635735371788382,0.02902406299050953,-156.4976239123645,BI
3104.79242866,19.202525286114646,-7.682006552877771,25.39076662693044,-0.105,0.112,0.001,-146.6013126394812,BE
3105.785673865,19.098234539589672,-7.570763089917797,25.391759872135438,0.04117146613151421,0.13350714789241325,0.10565392485949057,-135.16282873781782,BI
3106.785778695,19.139410321725983,-7.437241946471063,25.497424872695877,0.0054476344326654085,0.1487462272817476,0.11809268880220619,-121.83298776354033,BI
3107.768071743,19.144761495157233,-7.2911295614959775,25.613426499925907,-0.023291416775376408,0.16279328973041207,0.11771938975099143,-109.74153392819156,BI
3108.767569663,19.12148177253639,-7.128418007020462,25.7310867851257,-0.04204654644748054,0.09543344206607983,0.05950248790815427,-101.20281044484118,BI
3110.749582254,19.038144988069416,-6.9392677232430175,25.84902146535549,-0.0050812156080491,-0.020267553765734435,-0.016260612297745187,-90.48541088810912,BI
3111.749224672,19.033065589412608,-6.959528029696339,25.832766667560016,-0.003598421480546756,-0.008331207522237516,-0.007392046000245989,-87.74541111760297,BI
3113.731221721,19.025933528657106,-6.976040458420023,25.818115654201453,0.011651678406358718,0.00235660012834725,0.004322594839892789,-87.38216466669456,BI
3115.72732768,19.04919151335639,-6.971336434860849,25.826744011519704,-0.021830110472934407,0.00737407688527352,0.0014384946400855289,-89.29790877097177,BI
3117.708637571,19.005939299554743,-6.956726103391063,25.829594115178256,-0.003356851104413064,0.00910639638900681,0.0055502338211182185,-100.74982204398187,BI
3119.692310225,18.99928040581537,-6.938661993897708,25.840603962232514,0.004584319343507677,0.010994638529709097,0.005665857371817398,-119.22757117516892,BI
3120.691206111,19.00385966354771,-6.92767949470232,25.84626356385189,0.004964274889568514,0.012996299231660112,0.009351587090005107,-130.82193441480266,BI
3121.687941065,19.00880772985141,-6.914725628985485,25.85558461757987,0.010321034033571264,0.013510605691474399,0.009845800644303297,-142.80290716245506,BI
3122.673168161,19.018976292240023,-6.901414614174872,25.86528496715645,0.018838154161384166,0.012515952110156344,0.008970779819402412,-155.1174156442749,BI
3123.669334955,19.03774223587585,-6.888946638287438,25.87422136012883,0.01862368843434493,0.009823286684937366,0.006830905343069756,-167.94954461939423,BI
3124.67389173,19.05645078826806,-6.879078589095318,25.88108339237059,0.02116356327834575,0.003844081738656536,0.0018239037666452538,179.6775786750372,BI
3125.654815628,19.077210633254627,-6.875307837452004,25.882872503162947,0.02113963572418629,-0.0016457141309850533,-0.0027216587676971446,166.9358519961027,BI
3126.654689169,19.098347595681616,-6.876953343467625,25.880151188573496,0.012627275987353387,-0.004216379805307418,-0.007264574486960975,153.0834168714663,BI
3127.653962466,19.110965695389627,-6.881166659217079,25.87289189327461,0.00846890801065732,-0.003785851652763728,-0.004790086050405606,139.30957869288892,BI
3128.635679813,19.119279769293836,-6.884883295457766,25.868189382705303,0.011497201389312168,-0.005922602003779517,-0.012756847013209236,124.6217459441145,BI
3129.635362023,19.130773316987522,-6.890804015317856,25.855436589690505,0.012212737020952316,-0.0032762523054970286,-0.00860901999578269,116.40812767547685,BI
3130.633994079,19.14296934766814,-6.894075785893667,25.846839346351974,0.012141590595389787,-0.012570104659192557,-0.014648353036122792,114.69394967721512,BI
3132.612131259,19.166987079449218,-6.9189411772765075,25.817862894585453,0.01870038369634677,-0.027076887242002662,-0.030710549114160778,123.0074697428243,BI
3133.616008458,19.185759968254537,-6.946123046998656,25.78703327456097,0.0351779746392663,-0.027166431163567404,-0.03196083725615289,131.90269243714988,BI
3134.592356163,19.220105903060137,-6.972646929718247,25.75582838445604,0.047542183924729545,-0.023862612967315112,-0.03516129192790439,142.80142560246716,BI
3135.591151134,19.267590797274504,-6.996480787544917,25.720709462904594,0.05824135033310463,-0.02348201972215181,-0.028871090404504033,155.16555165906007,BI
3136.591239921,19.325837318682385,-7.019964892165157,25.691835809122583,0.06649604466531762,-0.01321513755336029,-0.02118103357520231,167.64438928258787,BI
3137.575323448,19.391274980848163,-7.032969691338454,25.6709919028964,0.07096120285772425,0.0026645135898825936,-0.002721774478945199,-179.64931064427034,BI
3138.575232446,19.462229726094513,-7.030305420224637,25.668270376104374,0.05931282066449706,0.03678756827900822,0.024772245052447742,-165.22618792285812,BI
3139.574215539,19.52148223113648,-6.993555261481329,25.69301743008742,0.022932214313826995,0.05676159380389307,0.04644604413194471,-149.03390481999153,BI
3140.557278703,19.544026046297365,-6.937755029482779,25.738676825187063,-0.025149119980840497,0.04896825175476643,0.04098331470575683,-129.0182284095498,BI
3141.556015924,19.51890868409711,-6.888848613808004,25.779608387023654,-0.05248941371624119,0.02787471444253364,0.022888026181225814,-103.44464116594605,BI
3142.55543447,19.46644979056043,-6.860990107229681,25.802483104870504,-0.00523686143713063,0.0033704107927945873,-0.005763298827590662,-76.07024026593,BI
3143.537002402,19.461309455309415,-6.857681820077808,25.79682603555881,-0.013842846142825415,-0.02593394751012235,-0.02288680792964108,-52.05865026354556,BI
3144.53672807,19.44747040670225,-6.883608653076251,25.773945506212954,0.016223360783671505,-0.023216076858985878,-0.016456498417357503,-31.973877047858732,BI
3145.533063154,19.46363431023141,-6.906739644963695,25.757549319479953,0.027261465894448045,-0.0120027120482326,-0.006981932452627822,-15.797582613006258,BI
3146.515600241,19.490419711518687,-6.918532754695663,25.750689311906317,0.023698202834846874,0.001404500749719077,-0.009188175011529439,-1.6912236168903352,BI
3147.518840157,19.51419469454007,-6.917123703481493,25.741471367979557,0.018301231429680324,0.0016171615782651775,0.004944665467659459,7.173369672088198,BI
3148.519565895,19.53250920786885,-6.915505368267618,25.746419621978845,0.01841342349307889,0.006953400977645479,-0.0027560932692145047,12.087774962779857,BI
